name,form,owner,business_unit,source,catalog_item,frequency,due_anchor,due_offset_days,lead_days,grace_days,timezone,status,description
Annual environmental statement — Ardenline,recurring,Priya Raman,Northgate Quality,catalog,Annual environmental statement,annual,period_end,-30,60,14,Europe/Berlin,active,Compile the year's environmental performance into the statement the group publishes.
Answer the duty phone — Northgate Quality,standing,Priya Raman,Northgate Quality,catalog,Answer the duty phone,,,,,,Europe/Berlin,active,The out-of-hours phone is carried and answered. There is no version of this that is ever finished.
Calibration verification — Lab 1,recurring,Rosa Delgado,Northgate Quality,catalog,Calibration verification,monthly,period_start,6,7,2,Europe/Berlin,active,"Verify each instrument against its reference standard and record the deviation, in range or not."
Retained sample review — Lab 1,recurring,Rosa Delgado,Northgate Quality,catalog,Retained sample review,fortnightly,period_start,2,5,1,Europe/Berlin,active,Inspect the retained samples due for review and dispose of anything past its retention window.
Nonconformance log review — Northgate Quality,recurring,Rosa Delgado,Northgate Quality,catalog,Nonconformance log review,monthly,period_start,1,7,2,Europe/Berlin,active,Review every nonconformance raised last month and confirm each one has an owner and a closing date.
Calibration verification — Lab 2,recurring,Ibrahim Chaudhry,Northgate Quality,catalog,Calibration verification,monthly,period_start,6,7,2,Europe/Berlin,active,"Verify each instrument against its reference standard and record the deviation, in range or not."
Instrument drift check — Lab 2,recurring,Ibrahim Chaudhry,Northgate Quality,catalog,Instrument drift check,monthly,period_start,8,7,2,Europe/Berlin,active,Compare this month's calibration deviations against the last three and note any instrument trending out.
Shift handover record — Line A,recurring,Marek Dvorak,Northgate Operations,catalog,Shift handover record,weekly,period_start,0,2,0,Europe/Berlin,active,"Written handover for every shift change in the week: state of the line, anything left open."
Line safety walk — Line A,recurring,Marek Dvorak,Northgate Operations,catalog,Line safety walk,monthly,period_start,2,7,2,Europe/Berlin,active,Walk the line against the safety checklist with an operator present. Log what you fixed on the spot.
Line safety walk — Line B,recurring,Sami Okonkwo,Northgate Operations,catalog,Line safety walk,monthly,period_start,2,7,2,Europe/Berlin,active,Walk the line against the safety checklist with an operator present. Log what you fixed on the spot.
Contractor induction refresh — Northgate,recurring,Sami Okonkwo,Northgate Operations,catalog,Contractor induction refresh,annual,period_end,-60,120,21,Europe/Berlin,active,"Re-run the site induction for every contractor still holding a pass, and retire the passes nobody claimed."
Lifting equipment check — Line C,recurring,Yuki Tanabe,Northgate Operations,catalog,Lifting equipment check,quarterly,period_start,5,14,5,Europe/Berlin,active,"Visual check and tag review of every sling, hoist and eyebolt on the line."
Emissions return — Riverside,recurring,Ana Ferreira,Riverside Plant,catalog,Emissions return,monthly,period_end,-5,10,3,UTC,active,"Submit the site emissions figures for the month, with the meter readings they were derived from."
Waste transfer log review — Riverside,recurring,Ana Ferreira,Riverside Plant,catalog,Waste transfer log review,monthly,period_start,4,7,2,UTC,paused,"Check every transfer note raised last month against the carrier register; flag anything unmatched."
Line safety walk — Riverside,recurring,Greta Lindqvist,Riverside Plant,catalog,Line safety walk,monthly,period_start,2,7,2,UTC,active,Walk the line against the safety checklist with an operator present. Log what you fixed on the spot.
Nonconformance log review — Riverside,recurring,Elin Halvorsen,Riverside Plant,catalog,Nonconformance log review,monthly,period_start,1,7,2,UTC,active,Review every nonconformance raised last month and confirm each one has an owner and a closing date.
Keep the permit register current — Ardenline,standing,Nadia Ilves,Ardenline Group,catalog,Keep the permit register current,,,,,,UTC,active,The register reflects the permits actually in force — no expiry passes without the entry being updated.
Monthly site performance note,recurring,Tomas Bergh,Northgate Plant,self,,monthly,period_end,-1,5,0,Europe/Berlin,active,"A page on how the site actually ran this month — written for myself, not for a report."
Commissioning file handover — Riverside upgrade,one_off,Owen Pryce,Central Office,catalog,Commissioning file handover,,,,,7,UTC,active,"Hand the commissioning file to operations: as-built drawings, test records, spares list, signed off."
